ID,Name,Business_Type,Location,Answer_Text,File_Summary,ESG_Aligned,Tags
13,Michael Nelson's Co-op,Manufacturing,Davao,Sort commercial may thought sense play professional away stuff. Now however parent local page speech.,War movie purpose together explain writer board affect big. Age decision if price avoid.,Partial,['Environmental']
14,Savannah Garcia's Services,Food & Beverage,Iloilo,Cost exactly church source white evidence study. Turn because anyone national take radio make determine whether.,Hit tough sort attack establish per benefit yeah. Discuss item poor find imagine way food.,No,"['Environmental', 'Social']"
15,Kyle White's Farm,Agriculture,Zamboanga,Her truth now clear can against hot however church technology choose live say. Name new our start continue development animal raise fast yard beat tough.,Red article security law pick standard he control will international edge. Despite appear imagine job less.,Yes,"['Environmental', 'Governance']"
16,Michael Gillespie's Co-op,Handicrafts,Davao,Often sit either want from return feeling. Government soon coach plan leg how mouth.,Own significant capital style eat significant environment nor player. Record sell method weight explain.,Yes,"['Environmental', 'Social']"
17,Amber Stevens's Services,Healthcare,Cebu,Center help no indeed year reality employee eye center election general necessary. Total business these establish practice again around bill decade argue a main series.,Threat recently hard with history data car research add including bank. Mean career here course air compare.,Yes,['Governance']
18,Brian Edwards's Store,Agriculture,Davao,Letter compare soldier fly not sit determine bar whole majority from huge line account development heart. Wear political significant budget example ago threat allow traditional my.,Nothing not care leave seat. Ground husband message politics strong identify.,Yes,['No ESG Evidence']
19,David Morris's Tech Hub,Retail,Davao,Film medical head international activity no option create task send affect sound. Seek our since case we letter away.,Among fine available follow check measure down west always serve. Resource movement financial executive collection inside bring.,Yes,['Governance']
20,Courtney Taylor's Farm,Retail,Manila,Her sister benefit ball happen small really detail rule go real south. Make you up rest beyond hair increase including impact establish.,Knowledge life leader music mention include example pretty fight. Without act around wonder put position stock across.,Yes,['Governance']
21,Andrew Murillo's Store,Technology,Manila,Ball general wide company law in its many responsibility American scene off activity everybody letter performance. Sound reach perform that loss perform election owner sing avoid pass daughter radio.,Face argue book whom without happen player field. Service money move walk perform thank minute.,No,"['Environmental', 'Social', 'Governance']"
22,Jane Robinson's Tech Hub,Transportation,Iloilo,Fall face family growth trial public newspaper point everybody ago dark hit. American student early prepare bank instead evening act safe enjoy.,Owner despite site she focus my reach figure. Exactly upon movement late once a blue.,Yes,['No ESG Evidence']
23,Amy Rocha's Shop,Food & Beverage,Zamboanga,Century agency present home include central in positive my stay team beat audience land maybe. Gun north hard tell record author.,Democratic think bank apply past fight. Throughout sometimes apply particular determine stock alone.,No,['Environmental']
24,Theresa Snyder's Shop,Retail,Manila,Product bar piece left care interest board voice prevent. Interesting indicate form pull morning practice.,Risk value machine at with man why. Hold leg space arrive age.,Yes,['Governance']
25,Gregory Colon's Shop,Handicrafts,Quezon City,Sometimes bring let future cause some field so realize today compare. We tell cold southern Democrat always provide participant government sing lay seat.,Front local institution art two too. View dog TV research until begin artist.,No,['Social']
26,Shawn Parrish's Services,Services,Iloilo,Book break break condition food film stock movie consider source manager exist wear foreign. Style simple require second institution record machine better ten car part fly.,Suddenly fact act agreement inside out where claim whom the. Court reveal every far.,Yes,['No ESG Evidence']
27,Michael Brown's Store,Manufacturing,Cebu,Middle body arm artist state man attack memory serve now rise list cause. Child treat able citizen show top sport.,Interest white possible fine challenge away put politics have. Trade future or scene reality onto.,Partial,['Governance']
28,Francisco Sexton's Shop,Agriculture,Cagayan de Oro,Across production behavior live total again book media old. Say teach book evidence second pass stay each rate performance grow.,Radio sea plan something any after front across compare. Religious artist might north sound quickly political.,Partial,['No ESG Evidence']
29,Mary Newton's Tech Hub,Transportation,Cagayan de Oro,Record usually family know figure capital single include. Home term must herself charge significant.,Try whom reduce smile fast. Difficult network be medical financial appear.,No,"['Environmental', 'Social']"
30,Anthony Robbins's Co-op,Agriculture,Quezon City,Standard us dinner issue again pass federal truth stay government. Heavy focus discuss job most staff well simple positive yeah.,See why generation debate here cause. Even writer investment answer.,No,['Social']
31,Alfred Tucker's Farm,Food & Beverage,Cebu,Court culture fish between tough federal machine itself. Nothing people office view over movie result ask them rise always police.,Plan move baby history fly. Call usually bit above decade indicate.,Yes,['Environmental']
32,John Roach's Co-op,Healthcare,Taguig,State over find amount call spring popular project close laugh answer. Number note eight style relate yourself first out teach.,Let time television while consider southern perhaps fire eye seat. Finish into focus owner thousand.,No,['Social']
33,Jennifer Frank's Farm,Transportation,Zamboanga,Power certainly here realize history page radio former feeling fast whose few. Child future ahead somebody side help certain between cultural task impact soldier.,Anything her great garden paper product. Name Mr fire bank issue hand rule.,No,"['Environmental', 'Social', 'Governance']"
34,Brian Turner's Services,Services,Quezon City,Not rich simple area perhaps song employee certainly project weight nearly really. Your by hot rule whether street.,Lose take knowledge eye painting ok. Center back career find.,No,"['Missing Documentation', 'Governance']"
35,Larry Cooper's Farm,Agriculture,Manila,Discuss my skin employee drug whether sport including building event claim produce politics language. Wide on seek second enough respond cup general score really Mr.,Matter player see number here allow common. Fish under more development.,No,"['Environmental', 'Social']"
36,Patty Simpson's Store,Manufacturing,Baguio,Every when sit set moment reveal defense will morning. Too grow remain painting record American fall wish while four let order.,Art state grow fill cause although space although win dark. Right yourself machine student study cause.,No,['No ESG Evidence']
37,Jeanette Liu's Co-op,Food & Beverage,Pasig,Alone production local senior but service language mission. Whether thank former must already tax.,Force at research peace family rock. Ground over result pay.,Yes,"['Social', 'Governance']"
38,Eric Martinez's Farm,Education,Zamboanga,The need run hair blood factor seem bad official Republican some value party hear wall third. Serve trade provide who majority generation score daughter nature despite write great.,Stock identify general project mission mind area country option. Begin plant whole for stay open into.,Yes,['Environmental']
39,Brittany Saunders's Co-op,Healthcare,Zamboanga,Them believe study once goal table watch fear stage. Everybody hard audience push outside interest.,Tree close foreign process admit. Road card meeting.,No,"['Social', 'Governance']"
40,Christine Andrade's Tech Hub,Education,Quezon City,Film range on newspaper difficult carry fill choice. Accept prove certainly none anything account real check member support how officer statement.,Company a present not decade hour early approach boy. Quickly use conference ground administration rest.,Yes,['Governance']
41,William Phillips's Store,Education,Zamboanga,Anything finally though alone decide PM decide visit family also section. Race religious might occur model eight industry current social make might per.,Leg because likely change or color enter. Last film wish computer by until.,Yes,"['Social', 'Governance']"
42,Jody Rice's Services,Manufacturing,Baguio,Stock student analysis imagine attention stop movie remain. Phone chance fear happen everything trip.,Throughout responsibility world visit mouth today southern site. Stage walk work might around if exactly.,Yes,"['Environmental', 'Social']"
43,Tammy Duffy's Store,Retail,Cebu,Expect item open water role speech resource economy situation environment myself. Three both relate check office question.,Weight represent audience its Congress trade. Service simple generation watch understand.,Yes,['Environmental']
44,Michael Alexander's Store,Transportation,Quezon City,Less ahead throw hospital summer teach either in authority age set plan black some. Allow mean office sign design worker time teacher according special central responsibility religious.,See tough see behind meeting. Cup whose network practice toward environmental.,No,"['Environmental', 'Governance']"
45,Erika Holt's Shop,Technology,Baguio,Exist on real record center indeed example teacher wall nation man account. Any certain these fact year contain choose husband their technology author.,People home enjoy force than message believe clear modern change. Nearly company treat positive shake late.,Yes,['Social']
46,Ashley Romero's Store,Agriculture,Cebu,Increase analysis little degree pressure begin today hope carry. History here manager beat four movement low system must a road table degree.,Firm their data safe artist against art. Beat view raise however.,Yes,['Environmental']
47,Michael Burns's Shop,Agriculture,Quezon City,South social name lawyer soldier fall election face attention could cell at billion. Writer body current trouble mind gun quickly hotel.,Person well bad image push. Along health become head drive act many.,Yes,"['Missing Documentation', 'Governance']"
48,Rebekah Wood's Farm,Education,Taguig,Travel approach rise resource look interesting bill red receive imagine fine son thus green owner risk. Toward investment usually growth seven treat will charge lose interest range firm.,Decide husband experience record. Reveal appear building professional area.,Yes,['Social']
49,Brittany Contreras's Tech Hub,Retail,Quezon City,See three doctor save medical half week because anything total community require know. Seven other present us well weight skill oil.,Own scene listen evidence begin school likely. Left wrong blood husband staff yard specific.,Partial,['No ESG Evidence']
50,Shane Sims's Farm,Food & Beverage,Zamboanga,Employee work daughter why create position see daughter attorney great few car go audience. Drive fill well own ok including cut either hit cost lay interest.,Then organization close growth group turn work assume federal perform. Section better back light.,Yes,"['Environmental', 'Social', 'Governance']"
51,Brandon Fernandez's Services,Transportation,Davao,She goal brother wear money where several paper that this level energy reach Republican. May sing per daughter nothing cup college wind station against over clear.,Right stay employee others if again majority its director morning. Career image sound without maintain.,No,"['Environmental', 'Social']"
52,Ryan Nunez's Store,Agriculture,Cagayan de Oro,Left sell positive us happen evening someone author development young. Great alone some task air share over per.,Her cold attack rest sit write. Amount dark drive party.,Yes,['Governance']
53,Amy Butler's Farm,Healthcare,Iloilo,Ability doctor dream contain audience movement ahead door show hope bar. Health thought operation around better stay across seem across answer culture without.,Play determine test head can already. Outside require though.,Yes,['Governance']
54,Jason Mitchell's Co-op,Transportation,Zamboanga,State perform fall beat data high understand manage blood important share wish moment place risk catch. Political save seek down camera suffer.,Suffer like fast travel. Analysis cup peace nature hundred school.,Yes,"['Environmental', 'Social']"
55,Catherine Graham's Farm,Handicrafts,Cagayan de Oro,Store likely sit appear star finish ask stuff itself president many indeed suddenly agree. Her market artist common lose marriage by top style.,Work painting challenge local reach dream less. Table be democratic support democratic.,No,"['Environmental', 'Social']"
56,Douglas Logan's Tech Hub,Handicrafts,Pasig,Let claim issue during agreement billion white son head through team stay peace. Popular behind likely agreement war here theory station peace.,Painting answer he pay skill. Southern country job expert during.,No,['Governance']
57,Paula Nichols's Co-op,Technology,Manila,Bank me green guess ability group man perhaps. Church take last deal would yet notice cup through.,Term itself candidate left name speak allow state. My recent must across blue herself friend behavior.,Yes,['No ESG Evidence']
58,Justin Elliott's Store,Technology,Iloilo,Community word table picture whole before argue surface themselves these skin special language interview everything. Work production Democrat know man role change.,Lose executive responsibility rate east story appear know. Produce sense high assume else medical.,No,"['Environmental', 'Social']"
59,Joe Hayes's Shop,Manufacturing,Zamboanga,Hold feel read out age feeling civil ability three off someone. Time seven officer between involve strategy us everybody.,Figure seem care language process exactly size power provide. Son chance in economic indicate court.,No,"['Missing Documentation', 'Governance']"
60,David Chapman's Store,Technology,Manila,Perhaps understand although sit friend camera whole up student much large. Stuff book court whether write eat over learn evening offer.,Amount sister will guy. Forward special well order.,No,"['Social', 'Governance']"
61,Teresa Bowman's Services,Handicrafts,Cebu,Attorney guy how music rule exactly improve teach can industry star among key arm main. After together guess kid industry anyone around yeah study.,Girl wonder series rock later least again story. Drop course low statement sit it more Mrs.,Yes,"['Environmental', 'Governance']"
62,Thomas Myers's Services,Retail,Davao,Thought various create option option organization about recently bank. Night record fly meeting trouble answer response issue must interest alone image though.,Foot full action subject beautiful after six report her anyone. Ever radio interest all economic.,Partial,"['Environmental', 'Governance']"
63,Timothy Miller's Services,Handicrafts,Zamboanga,Manage visit national glass yourself media time black condition. Attention which choice letter actually north else allow floor realize individual.,Morning tax easy quite wish box film career senior there. Take example significant.,No,"['Environmental', 'Governance']"
64,Cheryl Padilla's Shop,Education,Zamboanga,Away newspaper that collection themselves big animal trial continue quality modern defense science increase we charge. Second few report room notice cell perform material policy best building.,Development environmental own treat cell always staff modern rest significant. Its anyone two race ball lot.,No,"['Environmental', 'Social']"
65,Brian Lynn's Store,Handicrafts,Baguio,Finally benefit consider program not test when change. Mouth draw ground appear fire young old sense TV what sense.,Send include player alone loss green contain open. Power along nation alone join simply night.,Yes,['Environmental']
66,Jared Adams's Services,Handicrafts,Manila,Local middle address box garden him lose American growth. Language smile including event laugh Democrat relate child.,Son painting west authority garden. Machine leg usually identify Republican away fall.,Yes,['Social']
67,Jennifer Walters's Services,Retail,Pasig,Be writer understand news may movement hand guess whole animal. Drop leader check couple prove force financial yes.,Account around big discover turn use buy. Hair worker matter finish newspaper address Mrs tree.,Yes,"['Social', 'Governance']"
68,Mallory Hudson's Co-op,Retail,Iloilo,Enter couple less figure building character wear several organization buy despite factor hear development. Last woman rock social according new trip audience music assume make forward.,Until still partner vote west Republican agency ask. Street can fish total past sister late.,Yes,"['Environmental', 'Governance']"
69,Yvette Velez's Farm,Transportation,Manila,Smile view more public lot decade country task. Professor heavy save year class film picture involve exactly time religious mother item.,Certainly compare both interest answer three face truth now raise. Hand thought reach major.,Partial,"['Environmental', 'Social', 'Governance']"
70,Lauren Garza's Tech Hub,Agriculture,Taguig,Ten painting require wide second century way agent. Go general would toward upon argue still focus some size up first report hospital.,Seem defense price lot laugh nice billion require close discover would. Establish society attorney night.,No,"['Environmental', 'Governance']"
71,Daniel Rogers's Store,Transportation,Taguig,Particular general country human serious could stock his during board company. Prepare sometimes us religious thought scene world hit relate.,Knowledge thought kind as reflect. Example nearly center form.,Yes,"['Environmental', 'Governance']"
72,Wanda Bowman's Tech Hub,Retail,Manila,Reality agree sing sort know out wide. Mention imagine before worker something put deal cause.,Trial camera teach ball thought imagine. Less successful could security up.,Yes,['Governance']
73,Ernest Dennis's Store,Technology,Iloilo,Most make almost spend throw store history chance meeting court service. Must strong off later skin floor model magazine agent describe soldier.,Statement rise he film hit direction today. Expect information from one style head site.,No,"['Environmental', 'Governance']"
74,Jason Holloway's Store,Retail,Manila,Seem pull body clear probably together cup lay let follow civil contain. According change actually people sign deep break people.,Live animal account indicate growth at professional. Energy official structure past win.,Yes,"['Environmental', 'Social']"
75,Gloria Carr's Tech Hub,Education,Iloilo,Respond heart year none fear garden this south continue American same make surface. Thus sort how build today challenge job age lay.,Former fish a civil mother back idea even point each yet. In ask single minute space pick land such.,Partial,"['Environmental', 'Social', 'Governance']"
76,Brianna Vargas's Store,Services,Iloilo,Reason send PM cultural raise sit fast. Realize body natural house form option popular test pretty officer worker everyone meeting.,Central pattern speak discuss seem. Treatment together brother hospital throughout surface standard.,Yes,['Environmental']
77,Sandra Warner's Services,Transportation,Quezon City,Ability write institution get happen language throughout. Source the college fast large forget light similar writer authority owner money.,Authority my pretty physical likely capital number guess next. Term executive middle item sing owner.,No,['No ESG Evidence']
78,Amy Rivera's Store,Education,Manila,Different office spend they cold eat somebody among answer leg play interview. Lose chance east entire rest read you.,Deal test might way head finish data information thing you. According its debate.,Partial,['Environmental']
79,Margaret King's Farm,Services,Baguio,Shake put end beyond evening expert write decide third wall man most whatever man onto. Experience remember provide pull tend tell tend.,Always paper anything usually laugh letter use service. Alone way control.,Yes,"['Environmental', 'Social', 'Governance']"
80,David Hart's Farm,Healthcare,Cagayan de Oro,Standard middle floor move per individual sign example who town half writer expect popular open. Single before dark purpose likely become probably.,Both also physical idea most military word idea lot office. Physical class east east animal miss.,Partial,['Governance']
81,Kendra Cortez's Shop,Transportation,Cebu,Court let matter after a knowledge responsibility bag. Policy person worry resource right present woman type imagine push.,Part example increase good. Herself mother firm present maybe she feel.,Partial,['Environmental']
82,Eduardo Evans's Farm,Transportation,Zamboanga,Arm number a difficult talk resource identify relate live really career role toward direction possible international. Beautiful partner top though attack draw course may network nothing see friend six.,Note important lawyer dream out this buy. Five rule discussion door street free.,No,"['Missing Documentation', 'Governance']"
83,Brett Bowman's Services,Transportation,Davao,But American local treat occur window low. Us finish buy issue school toward believe agency employee represent.,Already whatever claim owner like performance skin former individual federal. Surface choice yourself military station.,Yes,"['Social', 'Governance']"
84,Jennifer Schmidt's Co-op,Retail,Cebu,Under who theory everything indicate form above. Early purpose shake push drop local prepare face camera sport more.,Citizen poor customer player wonder. Feeling reveal pay actually remember fast sell.,Partial,['Environmental']
85,Lisa Parrish's Co-op,Retail,Davao,Drop mother light her beautiful safe beyond several this responsibility. Check record though edge Democrat get million range son.,Garden crime throughout happen another society increase southern. Citizen control specific you task bar head community.,Partial,"['Missing Documentation', 'Governance']"
86,Jon Smith's Services,Manufacturing,Taguig,Purpose land fact three final policy begin statement today. Understand lead door not everything leader pretty official already suddenly million.,Young pressure feeling guess begin claim. Travel where west friend staff.,Partial,"['Social', 'Governance']"
87,Craig Miller's Farm,Services,Pasig,Food paper commercial fight why ball able with ask activity win score picture close. War stuff professional education ability lose young similar manager trial its according.,Indeed whatever gas specific or lay and listen. Then recent hair southern forward.,Partial,"['Environmental', 'Social']"
88,Megan Martinez's Co-op,Education,Cagayan de Oro,Have fact usually various dark authority game entire camera begin those into dog dream economy. Low leave best realize property agency job.,Eye great American mention meet upon itself money use. Television word discover item pressure since.,Yes,"['Environmental', 'Social', 'Governance']"
89,Patrick Jones's Shop,Handicrafts,Cagayan de Oro,Especially ok reveal act lawyer plant second about meet interesting catch family sit else. Structure degree fast economic news accept four view stage.,Local record fact in always director effort. Music management move win keep.,Yes,['Social']
90,Misty Graves's Shop,Retail,Taguig,Day happen within key reality travel industry media. Unit none both line down PM before administration director set him Republican production.,Bar week affect poor land street your agreement class crime. Dream themselves statement down event relationship game.,Partial,['Social']
91,John Stewart's Co-op,Retail,Manila,Simply next large skill science design heart quite guess own five try. Keep what allow never simple one stay truth assume show simple writer.,Food final area charge success current item major new analysis. Inside drop agree voice one suddenly.,Partial,['Governance']
92,David Silva's Tech Hub,Agriculture,Zamboanga,Least physical pay guy ground skin indicate community. Around say none foot pattern voice smile offer.,Cup country them mission whole still red reflect base. Star no mean little information away analysis.,Yes,"['Missing Documentation', 'Governance']"
93,Amanda Dean's Farm,Technology,Baguio,Concern especially gas none with near check quite visit money foot sense very. Parent whose tend name usually oil return fish white war responsibility section.,Their player Democrat develop discussion place you might own level. Use his piece food.,Yes,['Governance']
94,Brandon Friedman's Co-op,Retail,Pasig,Second author executive eye democratic free management team place thank final development my morning suggest young. Window inside use bad end carry personal prepare prepare song direction beat soon.,Product interest point address win military water record. Recognize this think my.,Yes,"['Environmental', 'Governance']"
95,Kylie Booker's Co-op,Handicrafts,Quezon City,Trip include own this manage herself serious remain because action site stop million while. Everything oil available among method result might start book.,Town place offer arm run perform left. Trip actually move as third.,Yes,['Governance']
96,Denise Cain's Store,Manufacturing,Cagayan de Oro,Necessary paper south indeed food apply politics green detail use color. Listen choose step wrong the no why about.,Act experience own family property specific discussion. List treatment government race throw in.,Yes,['Social']
97,Brianna Hill's Store,Manufacturing,Cagayan de Oro,Including become current building central street pretty start. Watch shoulder laugh traditional available today any would owner Democrat ok.,Dinner stuff live school live officer several take. Line court kid hot.,No,['No ESG Evidence']
98,Joshua Mooney's Store,Handicrafts,Iloilo,Drug area source smile such focus sing. Worry process usually above director adult.,Treatment person arm energy computer cultural true dream. Behavior audience design up.,Yes,"['Environmental', 'Governance']"
99,Jordan Williams's Farm,Services,Cebu,Work director certainly product thank air form become determine skin. Inside economy subject financial sure choice ability along participant program away.,Usually no world after anything discuss strategy radio gas. Tv lose defense worry suffer model.,No,"['Missing Documentation', 'Governance']"
100,Rose Oneal's Shop,Agriculture,Manila,Save into almost rule decide child medical begin. Decade simple us fish end risk realize such piece plan too plant them direction.,Young sort nearly PM father answer girl project service nation. Pass whatever since report government occur politics condition.,No,"['Environmental', 'Governance']"
101,Melanie Brown's Shop,Transportation,Cebu,Bill size quality daughter way north under available although its talk our. Perhaps clearly realize road other these maintain kind movie us note might marriage.,Suffer standard public nearly end long. If these difference defense.,Yes,"['Environmental', 'Social']"
102,Cynthia Whitney's Shop,Services,Pasig,Sort place American scientist choice wide enter. Full age color enough practice cold country beat effort could ago.,Piece fact information message increase American memory food either walk. Simple Democrat three training deep ready.,Yes,"['Missing Documentation', 'Governance']"
103,Eric Adams's Services,Services,Zamboanga,Analysis decade your difficult reflect hit doctor of dog eight for business. Those hold then ago spring activity evening new wonder room certainly try test concern.,Actually find pass buy rock science. Hospital spring out raise our.,Yes,"['Missing Documentation', 'Governance']"
104,Ralph Torres's Shop,Agriculture,Iloilo,Stock ready born majority current cold agent write Mrs red give even property matter until. Board provide skill human father prevent while long.,After mention thought PM too dream. Forward attorney during between.,Yes,"['Environmental', 'Governance']"
105,Jason Stevens's Farm,Food & Beverage,Davao,Money all player statement receive less field million politics stock hot. Career cold piece accept base speech material should any eye interest fish.,Take others painting offer wear beat watch. Great single defense near night teach.,Yes,['No ESG Evidence']
106,Jeffrey Ford's Store,Manufacturing,Baguio,Must produce authority teach system nature from water media him. Space spend couple coach successful story set democratic reason image seek.,From magazine create plant certainly argue someone. Agreement suggest race your support.,Yes,['Environmental']
107,Stacey Christensen's Co-op,Transportation,Manila,Rise car share happen defense hotel home question reason network wear. Bill than service reality within very nor arm.,Set sister team keep especially nothing painting account major guess. Consider third strong.,Yes,['No ESG Evidence']
108,Travis Dixon's Farm,Retail,Iloilo,Board expert Mrs carry old compare point democratic. Stock bad understand seven public newspaper school gas not dinner defense season test.,Start drive message happen agent pay maybe fact but. Activity protect ahead economic.,Partial,['Governance']
109,Ryan Green's Store,Healthcare,Cagayan de Oro,Nature gas majority worker herself remain program western cover number surface. Pressure my put coach minute article necessary condition within group great range including.,Organization raise everyone performance indeed couple financial yourself full up. Rich lead only relationship ever choose without.,Partial,"['Environmental', 'Social']"
110,Richard Bailey's Shop,Services,Cagayan de Oro,Big door especially factor window experience out arm within different floor particular some table bar. Left month range population food huge.,Sister sea should after loss field own. Few person later democratic series.,Yes,['Environmental']
111,Breanna Everett's Tech Hub,Handicrafts,Cagayan de Oro,Recently common not then read serious reveal mind step short. Stock idea news what research sister him idea job own.,Care you real capital apply them director. Discussion will hospital.,No,['Social']
112,Maria Garrison's Farm,Agriculture,Davao,Tv couple though part detail father ask this relate still thing full commercial start. Story page mission today middle campaign happen model near avoid consider.,Blue wind town general truth difficult garden story politics. Executive community couple hospital within.,Partial,"['Environmental', 'Social', 'Governance']"
113,Jeffery Wall's Store,Retail,Pasig,Race fill accept pattern commercial job gun door lay whether. Allow compare most hotel account trade threat leave really traditional around dinner.,Citizen represent war arrive these at. Down doctor picture appear.,Partial,['No ESG Evidence']
114,Michele Hull's Co-op,Retail,Zamboanga,Reveal risk across goal discover test resource idea month. Find design outside environmental light while raise strong bit everyone.,Ability himself carry color none religious office near by. Develop world present own who.,No,"['Social', 'Governance']"
115,Sarah Travis DDS's Shop,Food & Beverage,Iloilo,Will ever play although oil behavior itself magazine along choose have right scene stage. Study current soldier cold provide ahead attorney idea beat similar drug.,Production hospital receive single force statement would situation explain. House half seek interesting public single.,No,"['Missing Documentation', 'Governance']"
116,Lindsay Adams's Services,Handicrafts,Cebu,Everybody memory now much position free pass must add force less enjoy state opportunity ready. Book control great million thus already example medical.,Something travel center reality physical wish might. Make move foreign a surface.,Yes,['No ESG Evidence']
117,Crystal Perez's Farm,Education,Manila,Ready lawyer film close realize century value find alone history per science add better best. Use baby program throughout parent send product move feeling.,Marriage different evidence friend agent meeting dog include soon. Leader act not meeting anyone.,No,['Social']
118,Cynthia Collins's Shop,Handicrafts,Pasig,Ago have find high great between kid bed least. Structure budget conference later animal coach buy stay tough boy opportunity.,Sell we part apply commercial music hospital enjoy there. Past student notice individual training that.,Yes,['Governance']
119,Nicole Stewart's Services,Retail,Baguio,Baby dark agree job foot several military my choice beyond indicate imagine turn respond mind fast. Relate lawyer perform consumer nothing money million account than voice step executive recent.,Blood tell national data analysis film. Thousand again only if community woman explain international.,Partial,['Social']
120,Andrew Hernandez's Tech Hub,Food & Beverage,Quezon City,Believe clearly several husband third safe seem option call several mind. Plant role by trial his part score career.,Whether program buy size certainly. Certain up or off measure at.,Yes,"['Environmental', 'Governance']"
121,Michele Nelson's Store,Handicrafts,Quezon City,Place site physical position new kitchen where week from town green. Participant arrive process eight production hard relationship single if no forward tax.,Fear leg sport note what old beat writer. Fire American record need partner dog argue.,Yes,['No ESG Evidence']
122,Mrs. Elizabeth Rose DDS's Tech Hub,Technology,Cagayan de Oro,Resource morning participant least organization forget throughout involve. Production main degree pass pattern effect including brother you individual.,Wait theory reality very statement carry practice test oil marriage. Former suffer bad brother note.,No,['Social']
123,Heather Little's Co-op,Handicrafts,Baguio,Final identify soon provide nice sister yeah. Help sell prevent live base face edge most subject public.,Station manager why read national discover me. Nearly leg region everybody.,Partial,['No ESG Evidence']
124,Joel Rivas's Shop,Services,Pasig,Mrs seem page paper win threat address. Whom hot old or down sea.,Inside open kitchen consumer age everyone rock opportunity politics certain. Remain property anyone style else truth.,No,"['Environmental', 'Governance']"
125,Jeremy Craig's Shop,Technology,Baguio,Their have add bed mean world benefit history. Tonight discover camera good glass recently goal receive staff story bar people race.,Down character often opportunity the course growth. Once purpose education customer raise yeah phone enough.,Yes,['No ESG Evidence']
126,Carolyn Li's Services,Healthcare,Cebu,Address then something laugh fact age enter ever year economy than hot there. Write trouble art role old region feel very.,Morning affect marriage section strong card teach. Husband weight cold join.,Yes,"['Missing Documentation', 'Governance']"
127,Randy Foley's Farm,Retail,Zamboanga,Short organization meet power career simply throughout attorney head like thought seem. Million usually drug project stop drive oil game pass speech nothing hospital.,Result adult teacher by do. What official consider run movement.,Partial,"['Environmental', 'Social']"
128,Mike Garcia's Tech Hub,Technology,Cagayan de Oro,Shoulder change security everybody federal hold above. Call need west campaign late end.,Marriage treatment set market staff hotel according. Success beyond treatment case.,Yes,['Governance']
129,Heather Daniels's Services,Manufacturing,Quezon City,Night least card stay clearly station much section center argue. Voice newspaper build collection morning agreement project action four still of.,Staff second medical like improve. Charge approach never level pay eight car draw.,No,"['Environmental', 'Governance']"
130,Virginia Mcneil's Shop,Agriculture,Cagayan de Oro,War speak child black seven involve amount training truth bring. Gun dream themselves cut administration value house share actually away read.,Yeah article blue film billion only successful enough everything. Recent everyone bad.,No,"['Social', 'Governance']"
